loLimit,letter
400000,E
400000,K
400000,P
400000,U
400000,Z
300000,D
300000,J
300000,O
300000,T
300000,Y
200000,C
200000,H
200000,N
200000,S
200000,X
100000,B
100000,G
100000,M
100000,R
100000,W
0,A
0,F
0,L
0,Q
0,V
